Price;RegistrationYear;Power;Kilometer
480;1993;0;150000
18300;2011;190;125000
9800;2004;163;125000
1500;2001;75;150000
3600;2008;69;90000
650;1995;102;150000
2200;2004;109;150000
0;1980;50;40000
14500;2014;125;30000
999;1998;101;150000
2000;2004;105;150000
2799;2005;140;150000
999;1995;115;150000
2500;2004;131;150000
17999;2011;190;70000
450;1910;0;5000
300;2016;60;150000
1750;2004;75;150000
7550;2007;136;150000
1850;2004;102;150000
10400;2009;160;100000
3699;2002;231;150000
2900;2018;90;150000
450;1997;50;150000
500;1990;118;150000
2500;2002;193;150000
5555;2017;125;125000
6900;2008;99;60000
1990;1981;50;5000
690;2003;60;150000
3300;1995;113;150000
899;2016;60;150000
245;1994;0;150000
18000;2007;218;20000
3500;2004;122;150000
350;2016;75;150000
1600;1991;75;70000
1500;2016;0;150000
11900;2002;129;150000
1500;1984;70;150000
0;1990;0;150000
7500;2002;306;150000
12500;2006;231;150000
6990;2007;95;100000
3900;2008;61;80000
590;1999;75;125000
7999;2007;177;150000
2100;1998;193;150000
7750;2017;80;100000
13500;2012;109;150000
14800;2008;170;125000
2000;2017;90;150000
1400;2016;55;5000
7999;2008;143;150000
4700;2005;0;150000
550;1999;0;150000
3000;2006;61;80000
2399;2018;64;125000
1000;1998;101;150000
1;1994;286;150000
200;1995;102;150000
7499;2004;232;150000
5500;2010;60;70000
7000;2006;105;100000
14999;2007;218;50000
10900;2017;101;50000
9700;2008;160;150000
2100;2000;105;150000
1280;1992;109;150000
1200;2001;0;150000
800;1993;0;150000
2300;1997;150;150000
750;2002;50;150000
7999;2008;156;150000
6600;2006;105;150000
7999;2013;80;40000
1400;2003;82;150000
800;2000;90;150000
5000;2006;109;150000
150;2016;75;150000
250;2000;155;150000
350;1997;54;150000
600;1994;75;100000
3300;2005;150;150000
1600;1997;122;150000
8000;2005;185;150000
1800;2001;87;150000
6800;2009;82;60000
2990;2004;113;150000
1;1995;113;150000
2400;2003;0;150000
1222;1984;180;150000
250;2000;60;150000
14500;2013;86;60000
8390;2009;0;150000
3850;2003;131;150000
6450;2008;84;150000
1700;1999;102;125000
4290;2008;0;150000
1500;2006;109;150000
499;1995;101;150000
6500;2004;163;150000
900;1999;125;150000
650;1997;102;150000
300;1992;105;150000
3399;1999;224;150000
1300;1997;101;150000
900;1995;90;150000
7300;2009;235;100000
8599;2006;200;125000
350;1998;0;150000
0;2017;0;5000
5900;2005;178;150000
6300;2002;265;150000
3500;1991;160;150000
0;1999;0;5000
5950;2006;163;150000
1699;2003;77;150000
4699;1996;110;150000
400;2000;144;150000
9290;2010;86;40000
7000;2003;120;150000
1199;2000;60;150000
1750;2002;75;125000
1000;1990;54;150000
1800;1995;286;150000
8000;2009;0;100000
1100;2003;75;150000
2990;2001;170;150000
300;2000;54;150000
3390;2000;0;150000
2750;2001;131;150000
6990;2012;75;100000
4800;1996;116;150000
14499;2007;170;125000
1450;1992;136;150000
4300;2005;90;150000
2499;2003;110;150000
3450;2007;120;150000
350;1996;122;150000
3550;2000;184;150000
8250;2010;109;125000
800;1998;54;150000
1500;1996;126;150000
4200;2003;204;150000
150;1985;0;150000
1000;1996;75;150000
300;2005;0;40000
800;2004;88;150000
2300;2000;160;150000
4000;2003;163;150000
6799;2009;60;20000
0;2004;101;150000
9450;2004;170;150000
0;2006;0;5000
14500;2017;136;125000
6890;2003;170;125000
7500;2007;194;5000
800;1993;0;10000
1499;2002;140;150000
500;1999;0;150000
1495;2001;64;150000
300;1994;0;150000
1200;2018;75;150000
850;1989;69;125000
8500;2007;131;150000
300;1998;0;150000
1500;2000;75;125000
950;1995;115;150000
3200;2004;64;80000
11890;2011;116;150000
2900;2000;170;150000
19750;2006;305;50000
9800;2006;150;60000
1990;2003;80;125000
10500;2006;150;150000
11000;2012;131;70000
300;1997;0;150000
2390;2000;197;150000
16449;2015;110;10000
2999;2001;0;150000
3000;2016;75;150000
14300;2011;120;60000
5999;2009;80;125000
3700;2003;179;150000
8999;2007;105;90000
14000;2008;235;150000
2790;1992;90;80000
13400;2008;170;100000
4900;2006;102;150000
11299;2006;250;150000
550;1997;75;150000
1400;2006;88;150000
1200;1990;45;150000
9500;2011;131;150000
1800;1999;90;150000
2800;2018;75;125000
3200;2006;0;150000
1350;2002;60;150000
11000;2006;231;150000
1999;2016;110;150000
6900;2006;163;100000
1600;1996;0;150000
12999;2008;179;150000
18400;2011;313;150000
999;1995;75;150000
12899;2009;140;150000
10500;2010;143;150000
2250;2001;41;150000
8500;2010;80;50000
14900;2007;265;150000
500;1994;75;150000
1200;2002;45;150000
1250;1996;125;150000
370;1992;54;125000
1000;1999;165;150000
350;1993;88;150000
8600;2007;197;150000
2100;2017;0;150000
2222;1991;98;150000
850;1985;54;150000
11800;2005;218;150000
4000;2008;115;125000
4650;2005;150;150000
1450;1999;75;150000
900;2017;60;150000
800;2002;115;150000
1600;2000;90;150000
2800;2004;75;100000
5499;2004;122;150000
5500;2000;170;150000
0;2001;115;150000
1000;1982;41;150000
3750;2005;75;150000
1440;2003;109;150000
1150;2000;75;150000
15700;2011;170;90000
899;1995;102;150000
130;1998;0;150000
9200;2006;150;150000
3350;2000;130;150000
2700;2006;75;125000
800;2001;114;150000
10200;2008;0;90000
9800;2008;140;150000
14700;2012;211;60000
1200;1997;101;150000
895;1995;75;70000
950;1995;54;150000
8000;2006;177;150000
6799;2002;286;150000
500;1999;56;150000
11919;2012;90;30000
300;1993;90;150000
10800;2010;105;125000
650;2002;101;150000
800;2000;118;150000
1690;2001;75;150000
3650;2004;113;150000
4850;2009;75;80000
450;2016;0;150000
1450;1999;0;5000
4500;2007;140;150000
3900;2003;131;150000
750;2000;101;150000
5900;1999;184;150000
1100;2000;116;150000
8400;2009;201;70000
1;1990;90;70000
800;1998;75;150000
14950;2009;140;70000
14900;2004;170;70000
2950;1998;235;150000
1500;1994;116;150000
12000;2011;101;150000
2500;2001;150;150000
2400;2001;115;150000
4600;2017;109;125000
6000;1995;286;150000
8950;2012;95;60000
590;1996;0;150000
150;2016;75;50000
18700;2009;213;80000
9500;2012;69;50000
11550;2009;140;125000
1250;2017;0;150000
2400;1989;102;150000
16150;2011;150;30000
3400;2000;0;150000
3000;2000;179;150000
5500;2004;90;150000
2000;2004;122;5000
300;1998;58;125000
890;2000;107;150000
2390;2016;83;150000
1450;2017;0;150000
1699;1999;75;150000
2899;1996;69;150000
4800;2004;75;80000
6799;2008;174;90000
3400;2003;100;150000
2650;2004;125;150000
1000;1999;107;150000
800;1997;125;150000
5299;2002;220;150000
7150;2002;150;150000
200;2009;0;10000
2300;2006;88;150000
1600;1999;0;150000
350;2017;0;150000
5500;2006;140;150000
4400;1997;54;125000
7950;2008;140;150000
16500;2007;265;150000
8100;2004;170;150000
3999;2017;85;150000
9750;2013;75;60000
7700;2009;185;150000
2500;1999;88;150000
1195;1999;54;125000
9790;2014;73;30000
1849;1999;54;90000
3300;2006;41;125000
650;1991;77;150000
2600;1998;170;150000
11700;2008;170;150000
600;1998;90;150000
4950;2009;109;150000
1600;2003;50;150000
8499;2006;150;150000
1650;2017;0;60000
1700;1999;101;150000
5750;2010;90;100000
600;2001;75;150000
0;2005;0;150000
8700;2004;170;150000
1200;1999;125;150000
18880;2014;116;20000
11200;2008;177;150000
3550;1993;0;125000
3900;2003;75;125000
13849;2010;143;80000
13200;2013;105;40000
2500;2001;101;125000
2550;2006;54;150000
3900;2006;102;150000
2450;2001;231;150000
500;1996;45;70000
750;1998;90;150000
1799;1999;116;150000
950;1997;0;150000
8150;2012;75;60000
3900;2004;192;125000
5500;2012;68;40000
9999;2014;90;20000
1050;2018;0;150000
500;2001;131;150000
699;1992;66;150000
999;1994;115;150000
6250;2003;299;150000
10000;1976;0;5000
300;2001;0;150000
16500;1983;218;150000
6500;2007;125;125000
1200;2016;75;150000
1480;2000;74;150000
1490;2000;60;100000
3200;2008;110;150000
3250;2003;163;150000
3400;2006;54;70000
1100;2002;58;150000
1750;2002;125;150000
3300;2006;140;150000
1350;2005;52;150000
8250;2012;69;80000
2500;2000;115;150000
3999;2004;163;150000
7000;2007;143;150000
2950;2005;131;150000
4850;2010;77;100000
1100;2000;60;60000
3600;2003;147;125000
7750;2009;80;125000
2950;2004;54;90000
400;2017;65;150000
6880;2007;150;150000
5600;2008;140;150000
10550;2012;105;60000
17500;2013;122;40000
999;1999;60;150000
3400;2018;0;150000
2000;1998;115;150000
2350;2006;0;5000
6250;2016;310;150000
